Athlete_Name,Athlete_Sex,Athlete_Age,Athlete_Height (cm),Athlete_Weight (Kg),Team,NOC,Games,Year,Season,City,Sport,Event,Medal,Athlete_Height,Athlete_Weight
Stanislav Alekseyevich Pozdnyakov,M,18.0,178.0,78.0,Unified Team,EUN,1992 Summer,1992,Summer,Barcelona,Fencing,"Fencing Men's Sabre, Team",Gold,178.0,78.0
Denys Olehovych Sylantiev,M,31.0,185.0,78.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 200 metres Butterfly,No Medal,185.0,78.0
Ivan Vladislavovich Zaytsev,M,29.0,186.0,88.0,Kazakhstan,KAZ,2004 Summer,2004,Summer,Athina,Water Polo,Water Polo Men's Water Polo,No Medal,186.0,88.0
Dmitry Vasilyevich Komornikov,M,19.0,184.0,71.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 200 metres Breaststroke,No Medal,184.0,71.0
Yuliya Nikolayevna Gladysheva,F,20.0,166.0,57.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,No Medal,166.0,57.0
Wang Dapeng,M,19.0,184.0,95.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Archery,Archery Men's Individual,No Medal,184.0,95.0
Julieon Raeburn,M,21.0,188.0,82.0,Trinidad and Tobago,TTO,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,No Medal,188.0,82.0
Sergey Valentinovich Novikov,M,30.0,184.0,75.0,Belarus,BLR,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Men's 10 kilometres Sprint,No Medal,184.0,75.0
Richard Price Cavanaugh,M,23.0,173.0,70.0,United States-2,USA,1972 Winter,1972,Winter,Sapporo,Luge,Luge Mixed (Men)'s Doubles,No Medal,173.0,70.0
Beata Iwanek (-Rozwd),F,24.0,171.0,62.0,Poland,POL,1988 Summer,1988,Summer,Seoul,Archery,Archery Women's Team,No Medal,171.0,62.0
Tairat Bunsuk,M,23.0,161.0,69.0,Thailand,THA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,No Medal,161.0,69.0
Federico Sicard Rincn,M,18.0,185.0,75.0,Colombia,COL,1968 Summer,1968,Summer,Mexico City,Swimming,Swimming Men's 200 metres Freestyle,No Medal,185.0,75.0
Jozef Turza,M,20.0,181.0,82.0,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",No Medal,181.0,82.0
Urbia Melndez Rodrguez,F,28.0,166.0,49.0,Cuba,CUB,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Flyweight,Silver,166.0,49.0
Paul Gnamia M'Boule,M,30.0,172.0,75.0,Cote d'Ivoire,CIV,1968 Summer,1968,Summer,Mexico City,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,172.0,75.0
Ji Magl,M,20.0,174.0,65.0,Czech Republic,CZE,1998 Winter,1998,Winter,Nagano,Cross Country Skiing,Cross Country Skiing Men's 50 kilometres,No Medal,174.0,65.0
Kim Tae-Ho,M,20.0,174.0,60.0,South Korea,KOR,1972 Summer,1972,Summer,Munich,Boxing,Boxing Men's Lightweight,No Medal,174.0,60.0
Hannah Jane England (-Gunn),F,25.0,177.0,54.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",No Medal,177.0,54.0
Franoise Monod,F,13.0,160.0,47.0,Switzerland,SUI,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 200 metres Freestyle,No Medal,160.0,47.0
Tun Maung Kywe,M,25.0,165.0,59.0,Myanmar,MYA,1956 Summer,1956,Summer,Melbourne,Weightlifting,Weightlifting Men's Featherweight,No Medal,165.0,59.0
Ivanka Marinova Khristova (Todorova-),F,34.0,172.0,83.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Athletics,Athletics Women's Shot Put,Gold,172.0,83.0
Jefferson Leonardo Prez Quezada,M,30.0,167.0,60.0,Ecuador,ECU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's 20 kilometres Walk,No Medal,167.0,60.0
Cha Kum-Choi,M,21.0,157.0,56.0,North Korea,PRK,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Bantamweight,No Medal,157.0,56.0
Barry John Maister,M,20.0,187.0,80.0,New Zealand,NZL,1968 Summer,1968,Summer,Mexico City,Hockey,Hockey Men's Hockey,No Medal,187.0,80.0
Sarah Diana Stevenson,F,17.0,177.0,69.5,Great Britain,GBR,2000 Summer,2000,Summer,Sydney,Taekwondo,Taekwondo Women's Welterweight,No Medal,177.0,69.5
Roman Erikovich Virolaynen,M,20.0,185.0,80.0,Belarus,BLR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Men's 15 kilometres,No Medal,185.0,80.0
Sandrine Bailly,F,30.0,172.0,58.0,France,FRA,2010 Winter,2010,Winter,Vancouver,Biathlon,Biathlon Women's 15 kilometres,No Medal,172.0,58.0
Sergey Konstantinovich Klevchenya,M,23.0,176.0,70.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Speed Skating,Speed Skating Men's 500 metres,Silver,176.0,70.0
Augusto Midana,M,28.0,167.0,74.0,Guinea Bissau,GBS,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Middleweight, Freestyle",No Medal,167.0,74.0
Javier Revuelta del Peral,M,39.0,184.0,76.0,Spain,ESP,1996 Summer,1996,Summer,Atlanta,Equestrianism,"Equestrianism Mixed Three-Day Event, Individual",No Medal,184.0,76.0
Eirini Chrysovalado Terzoglou,F,29.0,177.0,90.0,Greece,GRE,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,No Medal,177.0,90.0
Elemr Somfay (Stromfeld-),M,33.0,178.0,72.0,Hungary,HUN,1932 Summer,1932,Summer,Los Angeles,Modern Pentathlon,Modern Pentathlon Men's Individual,No Medal,178.0,72.0
Gregor Tait,M,25.0,182.0,74.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 4 x 100 metres Medley Relay,No Medal,182.0,74.0
Yolande Van Der Straeten,F,18.0,177.0,69.0,Belgium,BEL,1984 Summer,1984,Summer,Los Angeles,Swimming,Swimming Women's 200 metres Backstroke,No Medal,177.0,69.0
Anne-Sophie Barthet,F,17.0,170.0,71.0,France,FRA,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Women's Slalom,No Medal,170.0,71.0
Monika Mrklas (-Friedrich),F,25.0,168.0,68.0,West Germany,FRG,1968 Winter,1968,Winter,Grenoble,Cross Country Skiing,Cross Country Skiing Women's 3 x 5 kilometres Relay,No Medal,168.0,68.0
Roberto Glauco Italo Pelizzola,M,25.0,171.0,61.0,Italy,ITA,1984 Winter,1984,Winter,Sarajevo,Figure Skating,Figure Skating Mixed Ice Dancing,No Medal,171.0,61.0
Renick James,M,28.0,180.0,91.0,Belize,BIZ,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Middleweight,No Medal,180.0,91.0
Arne Gabius,M,31.0,186.0,66.0,Germany,GER,2012 Summer,2012,Summer,London,Athletics,"Athletics Men's 5,000 metres",No Medal,186.0,66.0
Tracee Ann Talavera (-Kent),F,17.0,162.0,50.0,United States,USA,1984 Summer,1984,Summer,Los Angeles,Gymnastics,Gymnastics Women's Individual All-Around,No Medal,162.0,50.0
Zbynk Krompolc,M,15.0,166.0,50.0,Czech Republic,CZE,1994 Winter,1994,Winter,Lillehammer,Ski Jumping,"Ski Jumping Men's Large Hill, Individual",No Medal,166.0,50.0
Boris Yotov,M,20.0,193.0,93.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Double Sculls,No Medal,193.0,93.0
Claude G. Roumain,M,27.0,180.0,85.0,Haiti,HAI,1988 Summer,1988,Summer,Seoul,Athletics,Athletics Men's 200 metres,No Medal,180.0,85.0
rika Abril Surez,F,38.0,164.0,52.0,Colombia,COL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Marathon,No Medal,164.0,52.0
Gogi Murmanovich Koguashvili,M,26.0,180.0,96.0,Russia,RUS,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",No Medal,180.0,96.0
Pablo Herrera Allepuz,M,22.0,193.0,88.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Beach Volleyball,Beach Volleyball Men's Beach Volleyball,Silver,193.0,88.0
Maurice Auguste Schills,M,20.0,188.0,83.0,France,FRA,1908 Summer,1908,Summer,London,Cycling,"Cycling Men's Tandem Sprint, 2,000 metres",Gold,188.0,83.0
Tijana Maleevi,F,25.0,185.0,78.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Silver,185.0,78.0
Pascal Dangbo,M,28.0,179.0,80.0,Benin,BEN,2000 Summer,2000,Summer,Sydney,Athletics,Athletics Men's 200 metres,No Medal,179.0,80.0
Nam Hyeon-Hui,F,26.0,155.0,46.0,South Korea,KOR,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Women's Foil, Individual",Silver,155.0,46.0
Hctor Mauricio Pineda,M,21.0,169.0,70.0,Argentina,ARG,1996 Summer,1996,Summer,Atlanta,Football,Football Men's Football,Silver,169.0,70.0
Arman Hall,M,22.0,183.0,75.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 400 metres Relay,Gold,183.0,75.0
Ulrich Schillinger,M,19.0,182.0,76.0,Germany,GER,1964 Summer,1964,Summer,Tokyo,Cycling,Cycling Men's Sprint,No Medal,182.0,76.0
"Wolfram Waibel, Sr.",M,29.0,178.0,77.0,Austria,AUT,1976 Summer,1976,Summer,Montreal,Shooting,"Shooting Mixed Small-Bore Rifle, Prone, 50 metres",No Medal,178.0,77.0
Surendra Kumar Singh,M,29.0,162.0,54.0,India,IND,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 10,000 metres",No Medal,162.0,54.0
Mrcia Narloch,F,35.0,153.0,42.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Athletics,Athletics Women's Marathon,No Medal,153.0,42.0
Jaimee Lovett,F,28.0,167.0,83.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Canoeing,"Canoeing Women's Kayak Fours, 500 metres",No Medal,167.0,83.0
Nicole Fessel,F,30.0,170.0,55.0,Germany,GER,2014 Winter,2014,Winter,Sochi,Cross Country Skiing,Cross Country Skiing Women's 30 kilometres,No Medal,170.0,55.0
Mariya Kartalova,F,19.0,157.0,42.0,Bulgaria,BUL,1988 Summer,1988,Summer,Seoul,Gymnastics,Gymnastics Women's Balance Beam,No Medal,157.0,42.0
Samson Yego Kipchirchir,M,24.0,175.0,54.0,Kenya,KEN,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,175.0,54.0
"Timothy John ""Tim"" Burke",M,24.0,180.0,73.0,United States,USA,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Men's 20 kilometres,No Medal,180.0,73.0
Stanley Joseph Wudyka,M,26.0,179.0,67.0,United States,USA,1936 Summer,1936,Summer,Berlin,Athletics,"Athletics Men's 10,000 metres",No Medal,179.0,67.0
"Robert James Dunne ""Jamie"" Gale",M,24.0,188.0,122.0,New Zealand,NZL,1996 Summer,1996,Summer,Atlanta,Sailing,Sailing Mixed Three Person Keelboat,No Medal,188.0,122.0
Ryszard cigalski,M,26.0,173.0,74.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Wrestling,"Wrestling Men's Welterweight, Freestyle",No Medal,173.0,74.0
Lyubomir Runtov,M,30.0,185.0,83.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Water Polo,Water Polo Men's Water Polo,No Medal,185.0,83.0
Kordula Striepecke,F,33.0,174.0,65.0,Germany,GER,1996 Summer,1996,Summer,Atlanta,Canoeing,"Canoeing Women's Kayak Singles, Slalom",No Medal,174.0,65.0
Britta Steffen,F,24.0,180.0,60.0,Germany,GER,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 100 metres Medley Relay,No Medal,180.0,60.0
Galin Kostadinov,M,24.0,194.0,113.0,Bulgaria,BUL,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Shot Put,No Medal,194.0,113.0
Zinaida Sendrit,F,31.0,188.0,95.0,Lithuania,LTU,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Discus Throw,No Medal,188.0,95.0
Samuel Flix Miranda,M,23.0,172.0,63.0,Mexico,MEX,2000 Summer,2000,Summer,Sydney,Modern Pentathlon,Modern Pentathlon Men's Individual,No Medal,172.0,63.0
"Wilhelmina Petronella Ardina Maria ""Mijntje"" Donners",F,22.0,170.0,59.0,Netherlands,NED,1996 Summer,1996,Summer,Atlanta,Hockey,Hockey Women's Hockey,Bronze,170.0,59.0
Mykhailo Mykolayevych Humeniak,M,25.0,185.0,78.0,Ukraine,UKR,2006 Winter,2006,Winter,Torino,Cross Country Skiing,Cross Country Skiing Men's 4 x 10 kilometres Relay,No Medal,185.0,78.0
Stalina Sergeyevna Demidova-Korzukhina,F,25.0,158.0,58.0,Soviet Union,URS,1964 Winter,1964,Winter,Innsbruck,Alpine Skiing,Alpine Skiing Women's Giant Slalom,No Medal,158.0,58.0
Svetla Stefanova Zlateva (-Koleva),F,20.0,169.0,58.0,Bulgaria,BUL,1972 Summer,1972,Summer,Munich,Athletics,Athletics Women's 800 metres,No Medal,169.0,58.0
Jorge Snchez Balsa,M,27.0,186.0,80.0,Spain,ESP,2004 Summer,2004,Summer,Athina,Swimming,Swimming Men's 200 metres Backstroke,No Medal,186.0,80.0
Fernando Torres Velsquez,M,26.0,170.0,80.0,Puerto Rico,PUR,1968 Summer,1968,Summer,Mexico City,Weightlifting,Weightlifting Men's Middle-Heavyweight,No Medal,170.0,80.0
Nikolaos P. Georgantas,M,24.0,185.0,81.0,Pan-Hellenic Athletic Club,GRE,1904 Summer,1904,Summer,St. Louis,Tug-Of-War,Tug-Of-War Men's Tug-Of-War,No Medal,185.0,81.0
Lyubov Ivanovna Yegorova,F,27.0,167.0,58.0,Russia,RUS,1994 Winter,1994,Winter,Lillehammer,Cross Country Skiing,Cross Country Skiing Women's 15 kilometres,Silver,167.0,58.0
Damir karo,M,28.0,188.0,81.0,Yugoslavia,YUG,1988 Summer,1988,Summer,Seoul,Boxing,Boxing Men's Light-Heavyweight,Bronze,188.0,81.0
"Miraildes ""Formiga"" Maciel Mota",F,30.0,162.0,53.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver,162.0,53.0
Sbastien Amiez,M,29.0,180.0,87.0,France,FRA,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Slalom,Silver,180.0,87.0
Miroslav Machovi,M,24.0,184.0,70.0,Slovakia,SVK,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Men's 100 metres Backstroke,No Medal,184.0,70.0
Waldemar Schanz,M,36.0,180.0,82.0,Germany,GER,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,No Medal,180.0,82.0
Abbas Jadidi,M,31.0,185.0,99.0,Iran,IRI,2000 Summer,2000,Summer,Sydney,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",No Medal,185.0,99.0
"Robert ""Bob"" Eaton",M,16.0,168.0,59.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Diving,Diving Men's Platform,No Medal,168.0,59.0
Phyo Yong-Myong,F,16.0,150.0,38.0,North Korea,PRK,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Pairs,No Medal,150.0,38.0
Wu Shuijiao,F,25.0,161.0,53.0,China,CHN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 100 metres Hurdles,No Medal,161.0,53.0
Bente Skari-Martinsen,F,29.0,173.0,63.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 10 kilometres,Gold,173.0,63.0
Richard Rowles,M,23.0,178.0,71.0,Australia,AUS,1996 Summer,1996,Summer,Atlanta,Boxing,Boxing Men's Light-Middleweight,No Medal,178.0,71.0
Peter Hempel,M,21.0,186.0,91.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Canoeing,"Canoeing Men's Kayak Doubles, 1,000 metres",No Medal,186.0,91.0
"Petrus Johannes Marinus ""Piet"" van der Lans",M,19.0,178.0,76.0,Netherlands,NED,1960 Summer,1960,Summer,Roma,Cycling,"Cycling Men's Team Pursuit, 4,000 metres",No Medal,178.0,76.0
Lee Sang-Gi,M,30.0,186.0,85.0,South Korea,KOR,1996 Summer,1996,Summer,Atlanta,Fencing,"Fencing Men's epee, Team",No Medal,186.0,85.0
Hans-Jrgen Jacobi,M,29.0,197.0,144.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Athletics,Athletics Men's Shot Put,No Medal,197.0,144.0
"Elsemia Marianne Helene ""Els"" van Noorduyn",F,22.0,180.0,82.0,Netherlands,NED,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's Shot Put,No Medal,180.0,82.0
Katarzyna Ponikwia,F,23.0,166.0,55.0,Poland,POL,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,No Medal,166.0,55.0
Cappie Marie Pondexter,F,25.0,175.0,73.0,United States,USA,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Gold,175.0,73.0
Zygmunt Gosiewski,M,20.0,182.0,71.0,Poland,POL,1980 Summer,1980,Summer,Moskva,Boxing,Boxing Men's Light-Middleweight,No Medal,182.0,71.0
Martin Modlitba,M,22.0,171.0,66.0,Czechoslovakia,TCH,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Men's Individual All-Around,No Medal,171.0,66.0
Elbieta Regina ebrowska (Bednarek-),F,23.0,165.0,58.0,Poland,POL,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Women's 80 metres Hurdles,No Medal,165.0,58.0
Marcio Carvalho Jorge,M,37.0,186.0,80.0,Brazil,BRA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Three-Day Event, Team",No Medal,186.0,80.0
Armas Ilmari Wahlstedt (-Valste),M,22.0,178.0,80.0,Finland,FIN,1928 Summer,1928,Summer,Amsterdam,Athletics,Athletics Men's Decathlon,No Medal,178.0,80.0
Yasuko Tajima,F,19.0,164.0,63.0,Japan,JPN,2000 Summer,2000,Summer,Sydney,Swimming,Swimming Women's 400 metres Individual Medley,Silver,164.0,63.0
Vladimir Viktorovich Samsonov,M,40.0,189.0,83.0,Belarus,BLR,2016 Summer,2016,Summer,Rio de Janeiro,Table Tennis,Table Tennis Men's Singles,No Medal,189.0,83.0
Teri York,F,20.0,170.0,58.0,Canada,CAN,1976 Summer,1976,Summer,Montreal,Diving,Diving Women's Platform,No Medal,170.0,58.0
Giovanni Paganin,M,24.0,179.0,75.0,Italy,ITA,1980 Winter,1980,Winter,Lake Placid,Speed Skating,"Speed Skating Men's 1,000 metres",No Medal,179.0,75.0
Benita Jaye Willis-Johnson,F,25.0,166.0,50.0,Australia,AUS,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",No Medal,166.0,50.0
Reinhold Boschert,M,21.0,174.0,70.0,West Germany,FRG,1968 Summer,1968,Summer,Mexico City,Athletics,Athletics Men's Long Jump,No Medal,174.0,70.0
Andrej Jerman,M,31.0,186.0,88.0,Slovenia,SLO,2010 Winter,2010,Winter,Vancouver,Alpine Skiing,Alpine Skiing Men's Downhill,No Medal,186.0,88.0
Vlastimil Burda,M,24.0,200.0,97.0,Czech Republic,CZE,2000 Summer,2000,Summer,Sydney,Swimming,"Swimming Men's 1,500 metres Freestyle",No Medal,200.0,97.0
Emil Novk,M,24.0,173.0,78.0,Czech Republic,CZE,2014 Winter,2014,Winter,Sochi,Snowboarding,Snowboarding Men's Boardercross,No Medal,173.0,78.0
Lisa Ingildeeva,F,15.0,170.0,42.0,Germany,GER,2004 Summer,2004,Summer,Athina,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Individual,No Medal,170.0,42.0
Hafifi Bin Mansor Mohd,M,25.0,166.0,69.0,Malaysia,MAS,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Men's Lightweight,No Medal,166.0,69.0
Julie A. Cook,F,34.0,159.0,66.0,Great Britain,GBR,1988 Summer,1988,Summer,Seoul,Hockey,Hockey Women's Hockey,No Medal,159.0,66.0
"Tauna Kay Vandeweghe (-Mullarkey, -Oshea)",F,16.0,186.0,68.0,United States,USA,1976 Summer,1976,Summer,Montreal,Swimming,Swimming Women's 100 metres Backstroke,No Medal,186.0,68.0
Viktria Varga,F,23.0,160.0,95.0,Hungary,HUN,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Women's Super-Heavyweight,No Medal,160.0,95.0
Vanessa Valeryevna Kolodinskaya,F,19.0,161.0,48.0,Belarus,BLR,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Women's Flyweight, Freestyle",No Medal,161.0,48.0
Linda Sue Fratianne,F,15.0,153.0,41.0,United States,USA,1976 Winter,1976,Winter,Innsbruck,Figure Skating,Figure Skating Women's Singles,No Medal,153.0,41.0
Karl-Adolf Metzner,M,22.0,180.0,80.0,Germany,GER,1932 Summer,1932,Summer,Los Angeles,Athletics,Athletics Men's 4 x 400 metres Relay,No Medal,180.0,80.0
Hana Horkov-Machov,F,32.0,179.0,71.0,Czech Republic,CZE,2012 Summer,2012,Summer,London,Basketball,Basketball Women's Basketball,No Medal,179.0,71.0
Oleksandr Oleksiyovych Serdiuk,M,26.0,183.0,81.0,Ukraine,UKR,2004 Summer,2004,Summer,Athina,Archery,Archery Men's Team,Bronze,183.0,81.0
Paul Kibikai,M,25.0,180.0,80.0,Gabon,GAB,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Men's Half-Middleweight,No Medal,180.0,80.0
Marcelo M. Magnasco,M,26.0,186.0,75.0,Argentina,ARG,1984 Summer,1984,Summer,Los Angeles,Fencing,"Fencing Men's Foil, Team",No Medal,186.0,75.0
Tsvetan Petkov,M,20.0,190.0,90.0,Bulgaria,BUL,1976 Summer,1976,Summer,Montreal,Rowing,Rowing Men's Coxed Pairs,No Medal,190.0,90.0
Nataliya Vorobyova,F,23.0,160.0,54.0,Kazakhstan,KAZ,1996 Summer,1996,Summer,Atlanta,Athletics,Athletics Women's 100 metres,No Medal,160.0,54.0
Kamil Masztak,M,28.0,186.0,81.0,Poland,POL,2012 Summer,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,No Medal,186.0,81.0
John Houlding,M,26.0,190.0,91.0,Canada,CAN,1988 Summer,1988,Summer,Seoul,Rowing,Rowing Men's Coxed Fours,No Medal,190.0,91.0
Manuel Olmedo Villar,M,25.0,184.0,68.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's 800 metres,No Medal,184.0,68.0
Pedro Edmundo Warnke Bravo,M,21.0,163.0,54.0,Chile,CHI,1972 Summer,1972,Summer,Munich,Athletics,"Athletics Men's 5,000 metres",No Medal,163.0,54.0
Andrea Heim (-Markus),F,19.0,175.0,65.0,East Germany,GDR,1980 Summer,1980,Summer,Moskva,Volleyball,Volleyball Women's Volleyball,Silver,175.0,65.0
Silke Pielen (-Rogatko),F,16.0,170.0,64.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Swimming,Swimming Women's 100 metres Backstroke,No Medal,170.0,64.0
Jorge Marin Tares,M,23.0,175.0,69.0,Spain,ESP,1964 Summer,1964,Summer,Tokyo,Cycling,"Cycling Men's Road Race, Individual",No Medal,175.0,69.0
Marilynn Minaker (-Hayden),F,18.0,165.0,57.0,Canada,CAN,1968 Summer,1968,Summer,Mexico City,Gymnastics,Gymnastics Women's Uneven Bars,No Medal,165.0,57.0
John Allen Southwood,M,33.0,172.0,70.0,Australia,AUS,1976 Summer,1976,Summer,Montreal,Canoeing,"Canoeing Men's Kayak Doubles, 500 metres",No Medal,172.0,70.0
"Susan Marie ""Susie"" Kelley",F,21.0,158.0,45.0,United States-3,USA,1976 Winter,1976,Winter,Innsbruck,Figure Skating,Figure Skating Mixed Ice Dancing,No Medal,158.0,45.0
Jadran Radovi,M,13.0,156.0,48.0,Yugoslavia,YUG,1972 Summer,1972,Summer,Munich,Rowing,Rowing Men's Coxed Eights,No Medal,156.0,48.0
Camille Anne Franoise Abily,F,27.0,168.0,60.0,France,FRA,2012 Summer,2012,Summer,London,Football,Football Women's Football,No Medal,168.0,60.0
Uur Kken,M,22.0,172.0,69.0,Turkey,TUR,1960 Summer,1960,Summer,Roma,Football,Football Men's Football,No Medal,172.0,69.0
"Rebekah ""Becky"" Dyroen-Lancer",F,25.0,174.0,58.0,United States,USA,1996 Summer,1996,Summer,Atlanta,Synchronized Swimming,Synchronized Swimming Women's Team,Gold,174.0,58.0
Olga Aleksandrovna Sergeyenko-Sudareva,F,28.0,176.0,61.0,Belarus,BLR,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Long Jump,No Medal,176.0,61.0
Arshad Mahmood,M,28.0,189.0,77.0,Pakistan,PAK,1976 Summer,1976,Summer,Montreal,Hockey,Hockey Men's Hockey,Bronze,189.0,77.0
Patricia Elorza Eguiara,F,28.0,180.0,78.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze,180.0,78.0
Judith Hesse (-Dannhauer),F,23.0,158.0,50.0,Germany,GER,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's 500 metres,No Medal,158.0,50.0
Jean-Marc Bacquin,M,29.0,167.0,65.0,France,FRA,1994 Winter,1994,Winter,Lillehammer,Freestyle Skiing,Freestyle Skiing Men's Aerials,No Medal,167.0,65.0
"Jennifer ""Jenny"" Dahlgren Fitzner",F,32.0,180.0,110.0,Argentina,ARG,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Hammer Throw,No Medal,180.0,110.0
Yobes Ondieki,M,31.0,178.0,64.0,Kenya,KEN,1992 Summer,1992,Summer,Barcelona,Athletics,"Athletics Men's 5,000 metres",No Medal,178.0,64.0
Ismu Harinto,M,26.0,171.0,60.0,Indonesia,INA,2000 Summer,2000,Summer,Sydney,Table Tennis,Table Tennis Men's Doubles,No Medal,171.0,60.0
Werknesh Kidane,F,22.0,158.0,41.0,Ethiopia,ETH,2004 Summer,2004,Summer,Athina,Athletics,"Athletics Women's 10,000 metres",No Medal,158.0,41.0
Yacob Jarso Kintra,M,20.0,160.0,50.0,Ethiopia,ETH,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Men's 3,000 metres Steeplechase",No Medal,160.0,50.0
Denisse Lpez Sing,F,15.0,155.0,54.0,Mexico,MEX,1992 Summer,1992,Summer,Barcelona,Gymnastics,Gymnastics Women's Individual All-Around,No Medal,155.0,54.0
Max Wilhelm Friedrich Geuter,M,34.0,182.0,78.0,West Germany,FRG,1972 Summer,1972,Summer,Munich,Fencing,"Fencing Men's epee, Team",No Medal,182.0,78.0
